x,y,reported_error,digitization_error
0.191095,0.868421,0.0717703,0.00478469
0.202418,0.858852,0.0717703,0.00478469
0.211349,0.857257,0.0143541,0.00478469
0.223872,0.850877,0.0143541,0.00478469
0.23885,0.8437,0.00558214,0.00478469
0.253003,0.837321,0.00558214,0.00478469
0.267994,0.830941,0.00558214,0.00478469
0.285924,0.825359,0.0845295,0.00478469
0.300694,0.819777,0.0877193,0.00478469
0.318511,0.8126,0.00558214,0.00478469
0.339821,0.80622,0.00558214,0.00478469
0.357376,0.800638,0.00558214,0.00478469
0.381285,0.793461,0.0135566,0.00478469
0.403878,0.788676,0.106858,0.00478469
0.421697,0.783892,0.0127592,0.00478469
0.446684,0.774322,0.0167464,0.00478469
0.48001,0.763158,0.116427,0.00478469
0.508452,0.755183,0.121212,0.00478469
0.530884,0.744817,0.00717703,0.00478469
0.570493,0.732855,0.138756,0.00478469
0.604296,0.72488,0.138756,0.00478469
0.630957,0.720096,0.0127592,0.00478469
0.678032,0.710526,0.14673,0.00478469
0.707946,0.692982,0.152313,0.00478469
0.841395,0.65949,0.0119617,0.00478469
1.13828,0.590909,0.0374801,0.00478469
1.20573,0.570175,0.0175439,0.00478469
1.25893,0.559809,0.0199362,0.00478469
1.33352,0.54386,0.0326954,0.00478469
1.43301,0.526316,0.015949,0.00478469
1.51792,0.514354,0.0295056,0.00478469
1.58489,0.5,0.0295056,0.00478469
1.70314,0.484051,0.0247209,0.00478469
1.77828,0.469697,0.0247209,0.00478469
2.11349,0.414673,0.0239234,0.00478469
2.40575,0.383573,0.0334928,0.00478469
2.51189,0.370016,0.0326954,0.00478469
2.66073,0.356459,0.0215311,0.00478469
3.20812,0.311005,0.0199362,0.00478469
3.34965,0.300638,0.0318979,0.00478469
3.59956,0.281499,0.0334928,0.00478469
4.27809,0.251994,0.0263158,0.00478469
4.46684,0.243222,0.0255183,0.00478469
5.3858,0.212919,0.0326954,0.00478469
6.35514,0.19059,0.0223285,0.00478469
8.53591,0.167464,0.0271132,0.00478469
11.3828,0.157097,0.0287081,0.00478469
11.885,0.155502,0.0279107,0.00478469
12.5893,0.157097,0.0271132,0.00478469
13.5285,0.1563,0.0263158,0.00478469
14.1254,0.152313,0.030303,0.00478469
15.1792,0.150718,0.0295056,0.00478469
15.8489,0.150718,0.0287081,0.00478469
16.788,0.149123,0.0287081,0.00478469
18.0406,0.145933,0.0263158,0.00478469
21.4412,0.142743,0.0239234,0.00478469
22.3872,0.141148,0.0279107,0.00478469
24.0575,0.139553,0.0279107,0.00478469
25.1189,0.139553,0.0279107,0.00478469
26.9929,0.139553,0.0279107,0.00478469
32.0812,0.136364,0.0239234,0.00478469
33.4965,0.134769,0.023126,0.00478469
35.4813,0.131579,0.0215311,0.00478469
42.7809,0.144338,0.0239234,0.00478469
44.6684,0.151515,0.0239234,0.00478469
53.0884,0.142743,0.0279107,0.00478469
64.0103,0.137959,0.0263158,0.00478469
84.1395,0.133174,0.0326954,0.00478469
113.828,0.134769,0.023126,0.00478469
120.573,0.129984,0.0279107,0.00478469
125.893,0.129984,0.0287081,0.00478469
135.285,0.133174,0.0287081,0.00478469
141.254,0.133174,0.0287081,0.00478469
149.624,0.131579,0.0287081,0.00478469
160.787,0.137959,0.023126,0.00478469
167.88,0.133174,0.0255183,0.00478469
180.406,0.128389,0.0255183,0.00478469
214.412,0.129984,0.0318979,0.00478469
223.872,0.128389,0.0326954,0.00478469
240.575,0.128389,0.0326954,0.00478469
251.189,0.121212,0.030303,0.00478469
269.929,0.126794,0.0326954,0.00478469
320.812,0.128389,0.039075,0.00478469
334.965,0.133174,0.039075,0.00478469
354.813,0.134769,0.0374801,0.00478469
381.285,0.134769,0.039075,0.00478469
398.107,0.129984,0.0334928,0.00478469
427.809,0.128389,0.0295056,0.00478469
446.684,0.126794,0.0287081,0.00478469
473.151,0.128389,0.0287081,0.00478469
508.452,0.129984,0.0263158,0.00478469
530.884,0.134769,0.0255183,0.00478469
570.493,0.139553,0.0263158,0.00478469
595.662,0.144338,0.0215311,0.00478469
630.957,0.144338,0.030303,0.00478469
678.032,0.157097,0.0382775,0.00478469
707.946,0.158692,0.039075,0.00478469
760.764,0.165072,0.030303,0.00478469
794.328,0.172249,0.023126,0.00478469
841.395,0.177831,0.0175439,0.00478469
897.687,0.179426,0.0175439,0.00478469
930.572,0.179426,0.015949,0.00478469
