x,y,reported_error,digitization_error
1.91095,0.916268,0.0015949,0.00478469
2.02418,0.910686,0.0135566,0.00478469
2.11349,0.902711,0.0135566,0.00478469
2.23872,0.895534,0.0135566,0.00478469
2.37137,0.89075,0.00318979,0.00478469
2.5483,0.885965,0.00318979,0.00478469
2.69929,0.882775,0.00239234,0.00478469
2.83874,0.87799,0.00318979,0.00478469
3.02866,0.874801,0.00318979,0.00478469
3.16228,0.870016,0.00239234,0.00478469
3.34965,0.866826,0.00318979,0.00478469
3.54813,0.862041,0.00239234,0.00478469
3.81285,0.858852,0.0207337,0.00478469
4.09732,0.854067,0.0207337,0.00478469
4.15671,0.849282,0.0207337,0.00478469
4.46684,0.844498,0.0207337,0.00478469
4.73151,0.838118,0.00398724,0.00478469
5.04807,0.832536,0.00398724,0.00478469
5.34718,0.826954,0.00478469,0.00478469
5.70493,0.821372,0.0287081,0.00478469
6.13056,0.815789,0.0287081,0.00478469
6.30957,0.810207,0.0287081,0.00478469
6.68344,0.800638,0.0287081,0.00478469
7.13058,0.791866,0.00558214,0.00478469
7.60764,0.783892,0.0366826,0.00478469
8.17523,0.775917,0.0366826,0.00478469
8.41395,0.769537,0.0366826,0.00478469
8.91251,0.763158,0.0366826,0.00478469
9.57745,0.758373,0.0454545,0.00478469
10.292,0.751994,0.0454545,0.00478469
10.4412,0.745614,0.0454545,0.00478469
11.3012,0.741627,0.0510367,0.00478469
12.2321,0.73445,0.039075,0.00478469
12.5893,0.729665,0.039075,0.00478469
13.3352,0.723285,0.046252,0.00478469
14.3301,0.716906,0.0366826,0.00478469
15.1792,0.707337,0.053429,0.00478469
16.3117,0.696172,0.053429,0.00478469
16.5482,0.689793,0.0494418,0.00478469
18.3021,0.681818,0.0494418,0.00478469
18.8365,0.677033,0.0446571,0.00478469
20.388,0.672249,0.0446571,0.00478469
20.8329,0.665869,0.0486443,0.00478469
22.7117,0.657895,0.0518341,0.00478469
24.4062,0.65311,0.0574163,0.00478469
25.1189,0.645933,0.0566188,0.00478469
26.9929,0.637959,0.0518341,0.00478469
28.5924,0.632376,0.0502392,0.00478469
30.7256,0.627592,0.0502392,0.00478469
31.6228,0.624402,0.0430622,0.00478469
33.4965,0.622807,0.046252,0.00478469
35.9956,0.616427,0.053429,0.00478469
37.5837,0.608453,0.0478469,0.00478469
39.8107,0.600478,0.0494418,0.00478469
42.7809,0.594099,0.0486443,0.00478469
44.0301,0.590909,0.0406699,0.00478469
48.001,0.589314,0.0406699,0.00478469
50.1187,0.586124,0.0486443,0.00478469
53.858,0.58134,0.0486443,0.00478469
56.6402,0.57496,0.0510367,0.00478469
59.5662,0.57177,0.0518341,0.00478469
64.0103,0.566986,0.0478469,0.00478469
66.8344,0.559011,0.0542265,0.00478469
71.8208,0.552632,0.0494418,0.00478469
77.1792,0.551037,0.0438596,0.00478469
79.4328,0.551037,0.0454545,0.00478469
85.3591,0.549442,0.0454545,0.00478469
87.8517,0.543062,0.0566188,0.00478469
94.4061,0.531898,0.0574163,0.00478469
101.45,0.529506,0.0502392,0.00478469
105.925,0.529506,0.0558214,0.00478469
113.828,0.527113,0.0582137,0.00478469
117.152,0.522329,0.0590112,0.00478469
125.893,0.517544,0.0614035,0.00478469
137.246,0.514354,0.0558214,0.00478469
139.236,0.514354,0.0598086,0.00478469
151.792,0.509569,0.0677831,0.00478469
160.787,0.50319,0.0653907,0.00478469
167.88,0.49681,0.0653907,0.00478469
183.021,0.5,0.0614035,0.00478469
188.365,0.5,0.0614035,0.00478469
202.418,0.49681,0.0685805,0.00478469
214.412,0.488836,0.0669856,0.00478469
223.872,0.482456,0.0669856,0.00478469
244.062,0.481659,0.0606061,0.00478469
