x,y,reported_error,digitization_error
0.191095,0.933014,0.000797448,0.00478469
0.205353,0.955343,0.0279107,0.00478469
0.208329,0.961722,0.0279107,0.00478469
0.225489,0.966507,0.0183413,0.00478469
0.240575,0.96571,0.00239234,0.00478469
0.251189,0.96571,0.0015949,0.00478469
0.269929,0.964115,0.0015949,0.00478469
0.285924,0.96252,0.0015949,0.00478469
0.302866,0.960925,0.0015949,0.00478469
0.316228,0.960925,0.0015949,0.00478469
0.337384,0.95933,0.0015949,0.00478469
0.359956,0.957735,0.0015949,0.00478469
0.381285,0.95614,0.0207337,0.00478469
0.409732,0.953748,0.0350877,0.00478469
0.415671,0.952951,0.0350877,0.00478469
0.446684,0.951356,0.0183413,0.00478469
0.48001,0.949761,0.0015949,0.00478469
0.501187,0.948166,0.0015949,0.00478469
0.530884,0.946571,0.00239234,0.00478469
0.570493,0.943381,0.0366826,0.00478469
0.613056,0.941786,0.0366826,0.00478469
0.630957,0.938596,0.0366826,0.00478469
0.668344,0.937002,0.0366826,0.00478469
0.707946,0.933812,0.00239234,0.00478469
0.760764,0.932217,0.0350877,0.00478469
0.817523,0.929027,0.0350877,0.00478469
0.841395,0.925837,0.0350877,0.00478469
0.891251,0.922648,0.0350877,0.00478469
0.957745,0.919458,0.0374801,0.00478469
1.0292,0.917863,0.0374801,0.00478469
1.04412,0.913078,0.0374801,0.00478469
1.12202,0.908293,0.0430622,0.00478469
1.22321,0.904306,0.0350877,0.00478469
1.25893,0.900319,0.0350877,0.00478469
1.33352,0.895534,0.0406699,0.00478469
1.43301,0.89075,0.0342903,0.00478469
1.50704,0.886762,0.039075,0.00478469
1.63117,0.88118,0.039075,0.00478469
1.6788,0.876396,0.0382775,0.00478469
1.81708,0.870813,0.0382775,0.00478469
1.88365,0.864434,0.039075,0.00478469
2.02418,0.857257,0.039075,0.00478469
2.08329,0.852472,0.0374801,0.00478469
2.27117,0.844498,0.0446571,0.00478469
2.40575,0.836523,0.0414673,0.00478469
2.51189,0.828549,0.0422648,0.00478469
2.69929,0.823764,0.0358852,0.00478469
2.85924,0.814195,0.0406699,0.00478469
3.07256,0.80622,0.0470494,0.00478469
3.20812,0.796651,0.0374801,0.00478469
3.34965,0.787879,0.046252,0.00478469
3.59956,0.775917,0.0470494,0.00478469
3.75837,0.763158,0.0350877,0.00478469
3.98107,0.751994,0.0406699,0.00478469
4.27809,0.742424,0.0326954,0.00478469
4.46684,0.732855,0.0382775,0.00478469
4.73151,0.720096,0.0494418,0.00478469
5.01187,0.705742,0.0334928,0.00478469
5.3858,0.692982,0.0430622,0.00478469
5.70493,0.680223,0.039075,0.00478469
5.95662,0.665869,0.0446571,0.00478469
6.40103,0.654705,0.0318979,0.00478469
6.68344,0.637161,0.0494418,0.00478469
7.18208,0.621212,0.046252,0.00478469
7.60764,0.606061,0.0318979,0.00478469
7.94328,0.592504,0.046252,0.00478469
8.53591,0.57496,0.0478469,0.00478469
8.91251,0.558214,0.0326954,0.00478469
9.44061,0.541467,0.0494418,0.00478469
