x,y,reported_error,digitization_error
0.0121655,0.997299,0.00135074,0.00270149
0.0206813,0.995047,0.00405223,0.00270149
0.0279805,0.992796,0.00540297,0.00270149
0.428224,0.859523,0.0153084,0.00270149
0.437956,0.859523,0.0153084,0.00270149
0.447689,0.859523,0.0153084,0.00270149
0.457421,0.859523,0.0153084,0.00270149
0.467153,0.859523,0.0153084,0.00270149
0.476886,0.859523,0.0153084,0.00270149
0.486618,0.859523,0.0153084,0.00270149
0.49635,0.859523,0.0153084,0.00270149
0.504866,0.859523,0.0153084,0.00270149
0.847932,0.716794,0.0148582,0.00270149
0.856448,0.716794,0.0148582,0.00270149
0.86618,0.716794,0.0148582,0.00270149
0.875912,0.716794,0.0148582,0.00270149
0.885645,0.716794,0.0148582,0.00270149
0.895377,0.716794,0.0148582,0.00270149
0.905109,0.716794,0.0148582,0.00270149
0.914842,0.716794,0.0148582,0.00270149
0.924574,0.716794,0.0148582,0.00270149
1.60827,0.562359,0.0153084,0.00270149
1.61557,0.562359,0.0153084,0.00270149
1.6253,0.562359,0.0153084,0.00270149
1.63504,0.562359,0.0153084,0.00270149
1.64477,0.562359,0.0153084,0.00270149
1.6545,0.562359,0.0153084,0.00270149
1.66423,0.562359,0.0153084,0.00270149
1.67397,0.562359,0.0153084,0.00270149
1.6837,0.562359,0.0153084,0.00270149
1.68978,0.562359,0.0153084,0.00270149
2.12044,0.442593,0.0108059,0.00270149
2.13017,0.443494,0.00900495,0.00270149
2.1399,0.444394,0.00810446,0.00270149
2.14964,0.445295,0.00765421,0.00270149
2.1618,0.445295,0.00765421,0.00270149
2.17032,0.444845,0.00765421,0.00270149
2.18127,0.444394,0.00855471,0.00270149
2.191,0.443494,0.00990545,0.00270149
2.1983,0.441693,0.0108059,0.00270149
2.882,0.329581,0.0148582,0.00270149
2.89051,0.329581,0.0148582,0.00270149
2.90024,0.329581,0.0148582,0.00270149
2.90998,0.329581,0.0148582,0.00270149
2.91971,0.329581,0.0148582,0.00270149
2.92944,0.329581,0.0148582,0.00270149
2.93917,0.329581,0.0148582,0.00270149
2.94891,0.329581,0.0148582,0.00270149
2.95864,0.329581,0.0148582,0.00270149
