x,y,reported_error,digitization_error
0.00958754,0.0646003,0.0124449,0.00190296
0.0104993,0.0646003,0.0124449,0.00190296
0.0107627,0.0639691,0.00945591,0.00188436
0.0185631,0.0825742,0.00608655,0.00243242
0.0191866,0.0867294,0.00639283,0.00255482
0.0198311,0.085882,0.00971841,0.00252986
0.0203285,0.0867294,0.0098143,0.00255482
0.0210113,0.0863046,0.00848799,0.00254231
0.021717,0.0813669,0.00559707,0.00239686
0.027823,0.0975751,0.00815333,0.00287431
0.028521,0.0956776,0.0117729,0.00281841
0.0292365,0.093817,0.0129375,0.0027636
0.0302185,0.093817,0.0087641,0.0027636
0.0312334,0.0956776,0.01272,0.00281841
0.0322825,0.0970972,0.0100285,0.00286023
0.0371486,0.108704,0.0149905,0.00320215
0.0383963,0.107642,0.0180518,0.00317086
0.039686,0.108172,0.0192185,0.00318647
0.0406815,0.107642,0.0191244,0.00317086
0.0420479,0.108704,0.017689,0.00320215
0.0431028,0.109777,0.014051,0.00323375
0.0468137,0.11992,0.0219039,0.00353253
0.0483861,0.11992,0.0243023,0.00353253
0.0500112,0.119333,0.0123251,0.00351523
0.0512658,0.11992,0.0243023,0.00353253
0.0529877,0.118748,0.0222828,0.00349801
0.0552216,0.12972,0.0204637,0.00382121
0.0570764,0.12972,0.0275892,0.00382121
0.0589934,0.128452,0.029904,0.00378387
0.0607236,0.128452,0.029904,0.00378387
0.0625045,0.12972,0.0288928,0.00382121
0.0646038,0.136247,0.0330939,0.00401349
0.0673275,0.13895,0.0344527,0.00409309
0.0695888,0.137592,0.0355096,0.0040531
0.0713345,0.137592,0.0348124,0.0040531
0.0737305,0.140321,0.039067,0.00413348
0.0768389,0.145942,0.0391464,0.00429906
0.0790924,0.145942,0.0252014,0.00429906
0.081412,0.145942,0.0413762,0.00429906
0.0844947,0.149568,0.0446989,0.0044059
0.087694,0.154798,0.0446776,0.00455994
0.0898939,0.15404,0.0289052,0.00453761
0.0936838,0.156326,0.0491265,0.00460494
0.106039,0.167448,0.0552129,0.00493259
0.11051,0.169101,0.0566326,0.00498126
0.113282,0.172454,0.0586494,0.00508005
0.117087,0.175874,0.0598125,0.0051808
0.122023,0.179362,0.0628619,0.00528355
0.125602,0.181132,0.0644253,0.00533568
0.12982,0.184725,0.0676314,0.0054415
0.133628,0.188388,0.0448074,0.00554942
0.138687,0.192124,0.0713459,0.00565948
0.143939,0.19402,0.0730669,0.00571532
0.14816,0.197868,0.0765957,0.00582867
0.152506,0.201792,0.0781148,0.00594426
0.157628,0.205794,0.079664,0.00606215
0.162922,0.207825,0.0815451,0.00612197
0.169091,0.211946,0.0865249,0.00624338
0.17477,0.215091,0.0878087,0.00633602
0.179896,0.220437,0.091161,0.00649348
0.18748,0.222612,0.0944304,0.00655756
0.192979,0.227027,0.0963031,0.00668761
0.19946,0.230395,0.0989619,0.00678684
0.207013,0.233814,0.0991822,0.00688754
0.213966,0.238451,0.103697,0.00702413
0.219333,0.24318,0.109671,0.00716344
0.2267,0.245579,0.110754,0.00723412
0.234314,0.25045,0.11295,0.00737759
0.243187,0.254166,0.115996,0.00748706
0.251355,0.259207,0.123915,0.00763555
0.258726,0.263053,0.125754,0.00774884
0.268523,0.26827,0.129709,0.00790252
0.27869,0.270917,0.132468,0.0079805
0.288051,0.27629,0.136607,0.00813877
0.295277,0.281769,0.139316,0.00830018
0.305195,0.28595,0.144522,0.00842334
0.318061,0.290193,0.148265,0.00854832
0.328744,0.295948,0.154476,0.00871785
0.339786,0.301817,0.159213,0.00889075
0.349751,0.306296,0.163277,0.00902266
0.361498,0.31084,0.1657,0.00915654
0.3721,0.317005,0.168986,0.00933814
0.387788,0.323292,0.177753,0.00952333
0.400812,0.326482,0.181338,0.0096173
0.414275,0.332957,0.186806,0.00980804
0.424667,0.33956,0.192425,0.0100026
0.438931,0.342911,0.14546,0.0101013
0.455551,0.349712,0.153957,0.0103016
0.4728,0.353162,0.208144,0.0104032
0.48868,0.360166,0.162431,0.0106096
0.505093,0.36372,0.214367,0.0107142
0.519907,0.370934,0.224984,0.0109267
0.537369,0.374594,0.227204,0.0110346
0.553129,0.382023,0.236108,0.0112534
0.576448,0.385793,0.242903,0.0113644
0.590909,0.389599,0.247563,0.0114766
0.610756,0.393444,0.252297,0.0115898
0.63127,0.397326,0.259434,0.0117042
0.657884,0.401247,0.269081,0.0118197
0.677178,0.405206,0.278951,0.0119363
0.699923,0.411218,0.28309,0.0121134
0.726425,0.41732,0.294784,0.0122931
0.74773,0.425596,0.305762,0.012537
0.772844,0.431911,0.312913,0.012723
0.79551,0.43832,0.317556,0.0129118
0.829048,0.447013,0.32929,0.0131678
0.856893,0.451424,0.338061,0.0132978
0.885674,0.453645,0.342511,0.0133632
0.907893,0.464919,0.359642,0.0136953
0.938386,0.47414,0.366774,0.0139669
1.03615,0.483543,0.368063,0.0142439
1.07095,0.483543,0.362114,0.0142439
