x,y,reported_error,digitization_error
0.0936838,0.0328089,0.0055021,0.000966464
0.0968303,0.0331326,0.00588654,0.000976
0.0996702,0.0324883,0.00577206,0.00095702
0.102593,0.0328089,0.00582902,0.000966464
0.106039,0.0329704,0.00585771,0.00097122
0.18748,0.0449213,0.0102315,0.00132326
0.193777,0.0449213,0.0102315,0.00132326
0.19946,0.0440477,0.0100325,0.00129753
0.20531,0.0449213,0.0102315,0.00132326
0.212206,0.0449213,0.0102315,0.00132326
0.27869,0.0546688,0.0143863,0.0016104
0.288051,0.0546688,0.0143863,0.0016104
0.297726,0.0530819,0.0139687,0.00156365
0.305195,0.0541347,0.0142457,0.00159467
0.315445,0.0546688,0.0143863,0.0016104
0.323359,0.0544011,0.00133556,0.00160251
0.375186,0.0627251,0.0181036,0.00184772
0.387788,0.0627251,0.0181036,0.00184772
0.399161,0.0603092,0.0174064,0.00177655
0.410867,0.0627251,0.0181036,0.00184772
0.424667,0.0627251,0.0181036,0.00184772
0.461229,0.0695372,0.00170716,0.00204838
0.4728,0.0698795,0.0223201,0.00205847
0.48868,0.0685206,0.021886,0.00201844
0.500939,0.0671881,0.0214604,0.00197918
0.517764,0.0695372,0.0222107,0.00204838
0.535155,0.0698795,0.0219602,0.00205847
0.557716,0.076336,0.024776,0.00224866
0.576448,0.0767117,0.024898,0.00225972
0.59581,0.0741201,0.0244397,0.00218338
0.610756,0.0755901,0.024534,0.00222669
0.63127,0.0770892,0.0250205,0.00227085
0.657884,0.0809684,0.0271167,0.00238512
0.67998,0.0817674,0.027808,0.00240865
0.699923,0.0778499,0.0264757,0.00229325
0.72045,0.0817674,0.027808,0.00240865
0.744648,0.0850428,0.0320267,0.00250514
0.776042,0.0880163,0.0303899,0.00259273
0.798802,0.083389,0.0292257,0.00245642
0.825631,0.0884494,0.0333096,0.00260549
0.849846,0.0910937,0.0347837,0.00268338
0.885674,0.091542,0.0325598,0.00269659
0.907893,0.0910937,0.0324003,0.00268338
0.946168,0.0956776,0.0370373,0.00281841
0.977948,0.0975751,0.0372586,0.00287431
1.00248,0.0947427,0.0346872,0.00279087
1.04474,0.101484,0.0392849,0.00298945
1.07983,0.100492,0.038901,0.00296024
1.10692,0.100492,0.0383725,0.00296024
1.14884,0.106591,0.0407011,0.00313988
1.19234,0.103496,0.0406094,0.00304873
1.22225,0.108172,0.041874,0.00318647
1.27378,0.107642,0.0422361,0.00317086
1.30573,0.108704,0.0426529,0.00320215
1.36078,0.113059,0.0443614,0.00333042
1.40648,0.109777,0.0436532,0.00323375
1.45372,0.117588,0.0455189,0.00346383
1.49636,0.111954,0.045111,0.00329788
1.55302,0.11992,0.0476865,0.00353253
1.59198,0.115301,0.0476825,0.00339647
1.65909,0.123505,0.0504196,0.00363813
1.70071,0.121103,0.0500819,0.00356738
1.77241,0.124724,0.0509171,0.00367403
1.81688,0.127197,0.0526021,0.0037469
1.89348,0.127197,0.0526021,0.0037469
1.95707,0.12972,0.0543351,0.00382121
2.00617,0.129085,0.054069,0.00380249
2.07355,0.132292,0.0547092,0.00389699
2.16097,0.134916,0.0572305,0.00397428
2.23355,0.137592,0.0583655,0.0040531
2.30857,0.140321,0.059523,0.00413348
2.36648,0.143104,0.0614674,0.00421545
2.44597,0.145942,0.0626865,0.00429906
2.52812,0.148836,0.0639297,0.00438432
2.6347,0.150305,0.0645605,0.00442758
2.7008,0.154798,0.0664906,0.00455994
2.80306,0.156326,0.0679828,0.00460494
2.9092,0.159426,0.0693311,0.00469627
2.98218,0.160999,0.0691541,0.00474261
3.1079,0.164192,0.0705256,0.00483666
3.19905,0.167448,0.0728199,0.00493259
3.3065,0.170769,0.074264,0.00503041
3.4317,0.173303,0.0762947,0.00510505
3.54696,0.175874,0.0774267,0.0051808
3.63594,0.179362,0.0799254,0.00528355
3.78923,0.18292,0.0824947,0.00538833
3.90036,0.187465,0.0845448,0.00552224
4.04805,0.191183,0.0862215,0.00563176
4.16677,0.195934,0.0894206,0.00577172
4.32454,0.19982,0.091194,0.00588618
4.43302,0.203783,0.0919039,0.00600292
4.60088,0.205794,0.0917036,0.00606215
4.73581,0.209875,0.0901481,0.00618238
4.91513,0.21299,0.0914857,0.00627411
5.10124,0.21615,0.0951575,0.00636721
5.27258,0.220437,0.0970447,0.00649348
5.40485,0.224808,0.0989693,0.00662226
5.58638,0.227027,0.101165,0.00668761
5.77401,0.231529,0.101928,0.00682024
6.01744,0.233814,0.102934,0.00688754
6.21955,0.240804,0.109898,0.00709345
6.40196,0.245579,0.112077,0.00723412
6.58971,0.248003,0.110512,0.00730551
6.81105,0.25045,0.111603,0.00737759
7.03981,0.255417,0.111076,0.00752391
7.3366,0.260482,0.111885,0.00767313
7.55177,0.264347,0.113545,0.00778698
7.83771,0.26827,0.116665,0.00790252
8.06758,0.270917,0.117816,0.0079805
8.30418,0.27629,0.121633,0.00813877
8.5831,0.281769,0.121029,0.00830018
8.87138,0.281769,0.119525,0.00830018
9.16935,0.284549,0.117675,0.00838208
9.51654,0.28595,0.116736,0.00842334
9.79564,0.287357,0.118836,0.00846479
10.1247,0.298868,0.120426,0.00880387
10.4647,0.313908,0.121515,0.00924689
10.7272,0.31237,0.0107373,0.00920161
