x,y,reported_error,digitization_error
0.00954803,0.0344599,0.0033891,0.0010151
0.00986873,0.0344599,0.0033891,0.0010151
0.0102002,0.0344599,0.0033891,0.0010151
0.0104993,0.0344599,0.0033891,0.0010151
0.0107627,0.0347999,0.00307934,0.00102511
0.0187171,0.0421438,0.00393695,0.00124145
0.0191076,0.0421438,0.00393695,0.00124145
0.0197493,0.0421438,0.00393695,0.00124145
0.0204127,0.0421438,0.00393695,0.00124145
0.0210113,0.0419374,0.00391767,0.00123537
0.0215384,0.0423512,0.00312171,0.00124756
0.027823,0.0476473,0.0018719,0.00140356
0.028521,0.0476473,0.00445107,0.00140356
0.029479,0.0476473,0.00468607,0.00140356
0.0302185,0.0476473,0.00468607,0.00140356
0.0312334,0.0476473,0.00445107,0.00140356
0.0322825,0.0476473,0.00421618,0.00140356
0.0373023,0.0523058,0.0046284,0.00154079
0.0382381,0.0523058,0.00488626,0.00154079
0.0395224,0.0523058,0.00488626,0.00154079
0.0408499,0.0523058,0.00488626,0.00154079
0.0420479,0.0520497,0.00486233,0.00153325
0.0431028,0.0525633,0.00206503,0.00154838
0.0468137,0.0568588,0.00503127,0.00167491
0.0483861,0.0568588,0.00531158,0.00167491
0.0498051,0.0571386,0.00533772,0.00168315
0.0512658,0.0568588,0.00531158,0.00167491
0.0529877,0.0568588,0.00503127,0.00167491
0.0556796,0.0612041,0.00270525,0.00180291
0.0570764,0.0609043,0.0056895,0.00179408
0.0587503,0.0612041,0.0057175,0.00180291
0.0607236,0.0612041,0.0057175,0.00180291
0.0627631,0.0612041,0.0057175,0.00180291
0.0651396,0.0639691,0.0075549,0.00188436
0.06705,0.0655588,0.00612431,0.00193119
0.0695888,0.0652377,0.00641607,0.00192173
0.0716297,0.0655588,0.00612431,0.00193119
0.0743419,0.0665316,0.00818654,0.00195985
0.0765222,0.0695372,0.00649596,0.00204838
0.0794197,0.0698795,0.00687259,0.00205847
0.0817489,0.0695372,0.00649596,0.00204838
0.0848443,0.0712654,0.00876902,0.00209929
0.0873326,0.0737571,0.0076179,0.00217269
0.0902659,0.0741201,0.00728965,0.00218338
0.0936838,0.0748515,0.00884014,0.00220493
0.0960339,0.0767117,0.00943918,0.00225972
0.0996702,0.0778499,0.00765647,0.00229325
0.103444,0.0793938,0.0093766,0.00233873
0.106039,0.0801773,0.00986561,0.00236181
0.11051,0.0825742,0.0093441,0.00243242
0.113751,0.0842118,0.00994562,0.00248066
0.117087,0.0850428,0.0104643,0.00250514
0.122023,0.0875852,0.010344,0.00258003
0.125602,0.0884494,0.0104461,0.00260549
0.130358,0.0902036,0.0124392,0.00265716
0.134181,0.0924453,0.0104611,0.0027232
0.139261,0.093817,0.0124727,0.0027636
0.143346,0.0966217,0.0114112,0.00284622
0.148773,0.0975751,0.0129723,0.00287431
0.153137,0.100492,0.0118684,0.00296024
0.158935,0.102485,0.0131176,0.00301894
0.163596,0.104006,0.0127977,0.00306374
0.169091,0.106068,0.0141015,0.0031245
0.175494,0.108704,0.0144519,0.00320215
0.179896,0.11086,0.0147385,0.00326565
0.18748,0.114175,0.0157448,0.00336328
0.192183,0.115301,0.0164718,0.00339647
0.19946,0.118748,0.0151992,0.00349801
0.20531,0.121103,0.0173007,0.00356738
0.213966,0.123505,0.0176438,0.00363813
0.221152,0.125954,0.0173693,0.00371029
0.2267,0.12972,0.0178885,0.00382121
0.234314,0.132292,0.0188992,0.00389699
0.244193,0.134916,0.019274,0.00397428
0.252395,0.13895,0.0205395,0.00409309
0.260872,0.141705,0.0209469,0.00417427
0.268523,0.144516,0.0220798,0.00425705
0.277542,0.148836,0.0220009,0.00438432
0.288051,0.151788,0.0224373,0.00447127
0.297726,0.156326,0.023108,0.00460494
0.307726,0.159426,0.0243578,0.00469627
0.318061,0.162588,0.0248409,0.0047894
0.327389,0.167448,0.0247522,0.00493259
0.339786,0.170769,0.0260909,0.00503041
0.351198,0.175874,0.0259977,0.0051808
0.362994,0.179362,0.0274038,0.00528355
0.37364,0.18382,0.0280849,0.00541485
0.384598,0.188388,0.0297188,0.00554942
0.399161,0.19402,0.0306073,0.00571532
0.412567,0.197868,0.0312143,0.00582867
0.424667,0.203783,0.0331607,0.00600292
0.440747,0.208848,0.0339848,0.0061521
0.457436,0.214038,0.0337651,0.00630499
0.470851,0.219357,0.0356949,0.00646168
0.486666,0.224808,0.036582,0.00662226
0.503012,0.231529,0.0376756,0.00682024
0.519907,0.236121,0.0384228,0.0069555
0.535155,0.24318,0.0395715,0.00716344
0.555418,0.249223,0.0405549,0.00734146
0.574073,0.255417,0.0428338,0.00752391
0.593354,0.261764,0.0425957,0.00771089
0.613284,0.26827,0.0449892,0.00790252
0.63127,0.27629,0.0463342,0.00813877
0.652473,0.281769,0.0472531,0.00830018
0.67998,0.290193,0.0486657,0.00854832
0.699923,0.297405,0.0513563,0.00876076
0.726425,0.304795,0.0511146,0.00897848
0.74773,0.313908,0.0526427,0.00924689
0.772844,0.320133,0.0536868,0.00943028
0.79551,0.326482,0.0515036,0.0096173
0.822229,0.332957,0.052525,0.00980804
0.849846,0.33956,0.0501938,0.0100026
0.87839,0.346295,0.0477544,0.0102009
0.911649,0.349712,0.0621318,0.0103016
0.938386,0.358402,0.0601046,0.0105576
0.969904,0.360166,0.0389774,0.0106096
1.00248,0.367309,0.0361246,0.01082
1.04044,0.380152,0.05054,0.0111983
1.07095,0.389599,0.0440871,0.0114766
