n_fibers,particle_radius,adhesion_depth,aspect_ratio,mean_pore_radius,simulated_exponent,baseline_exponent,residual,n_steps,seed
200,0.2,0.0,1.0,2.3094010767585034,0.9813837943656121,1.0,-0.018616205634387928,360,20260804
200,0.2,0.0,2.0,2.3094010767585034,0.9927949028614906,1.0,-0.007205097138509364,719,20260805
200,0.2,0.0,4.0,2.3094010767585034,0.987325160546052,1.0,-0.012674839453947984,744,20260806
200,0.2,1.5,1.0,2.3094010767585034,0.9643850859152754,1.0,-0.035614914084724614,360,20260807
200,0.2,1.5,2.0,2.3094010767585034,0.9576116541286536,1.0,-0.04238834587134643,719,20260808
200,0.2,1.5,4.0,2.3094010767585034,0.9353522742546074,1.0,-0.06464772574539257,744,20260809
200,0.2,3.5,1.0,2.3094010767585034,0.9845565797412122,1.0,-0.015443420258787754,360,20260810
200,0.2,3.5,2.0,2.3094010767585034,0.8664950229329343,1.0,-0.13350497706706566,719,20260811
200,0.2,3.5,4.0,2.3094010767585034,0.9290108560817315,1.0,-0.0709891439182685,744,20260812
200,0.5,0.0,1.0,2.309401076758503,0.999349588220497,1.0,-0.0006504117795029796,900,20260813
200,0.5,0.0,2.0,2.309401076758503,0.9927036395718053,1.0,-0.007296360428194704,1799,20260814
200,0.5,0.0,4.0,2.3094010767585034,1.007788132236474,1.0,0.007788132236473899,1860,20260815
200,0.5,1.5,1.0,2.3094010767585034,0.9461774534204022,1.0,-0.05382254657959784,900,20260816
200,0.5,1.5,2.0,2.309401076758503,0.9164269540787979,1.0,-0.08357304592120207,1799,20260817
200,0.5,1.5,4.0,2.3094010767585034,0.9637531350876426,1.0,-0.0362468649123574,1860,20260818
200,0.5,3.5,1.0,2.309401076758503,0.925274594933546,1.0,-0.07472540506645398,900,20260819
200,0.5,3.5,2.0,2.3094010767585034,0.8699432425382272,1.0,-0.1300567574617728,1799,20260820
200,0.5,3.5,4.0,2.309401076758503,0.892108652208321,1.0,-0.10789134779167897,1860,20260821
200,0.8,0.0,1.0,2.3094010767585034,0.9224425117469054,1.0,-0.07755748825309461,1440,20260822
200,0.8,0.0,2.0,2.309401076758503,0.954658039942232,1.0,-0.04534196005776803,2878,20260823
200,0.8,0.0,4.0,2.3094010767585034,0.9749752759173251,1.0,-0.025024724082674865,2977,20260824
200,0.8,1.5,1.0,2.3094010767585034,0.8955197031584908,1.0,-0.10448029684150917,1440,20260825
200,0.8,1.5,2.0,2.3094010767585034,0.8851718904550026,1.0,-0.11482810954499745,2878,20260826
200,0.8,1.5,4.0,2.3094010767585034,0.9536054933080105,1.0,-0.04639450669198952,2977,20260827
200,0.8,3.5,1.0,2.309401076758503,0.8986997875292572,1.0,-0.10130021247074283,1440,20260828
200,0.8,3.5,2.0,2.3094010767585034,0.8902785968129447,1.0,-0.10972140318705526,2878,20260829
200,0.8,3.5,4.0,2.3094010767585034,0.8961190492865753,1.0,-0.10388095071342474,2977,20260830
350,0.2,0.0,1.0,1.7457431218879391,1.0281719532115647,1.0,0.028171953211564738,360,20260831
350,0.2,0.0,2.0,1.7457431218879391,0.9850546399108606,1.0,-0.014945360089139381,719,20260832
350,0.2,0.0,4.0,1.7457431218879391,1.0092740917034955,1.0,0.009274091703495468,744,20260833
350,0.2,1.5,1.0,1.7457431218879391,0.9869377669679958,1.0,-0.013062233032004156,360,20260834
350,0.2,1.5,2.0,1.7457431218879391,0.8846335680010158,1.0,-0.11536643199898422,719,20260835
350,0.2,1.5,4.0,1.7457431218879391,0.9237290906955964,1.0,-0.07627090930440361,744,20260836
350,0.2,3.5,1.0,1.7457431218879391,0.963820981774242,1.0,-0.036179018225757975,360,20260837
350,0.2,3.5,2.0,1.7457431218879391,0.8428331677183393,1.0,-0.15716683228166073,719,20260838
350,0.2,3.5,4.0,1.7457431218879391,0.8176178492809429,1.0,-0.18238215071905706,744,20260839
350,0.5,0.0,1.0,1.7457431218879391,0.9548881567532609,1.0,-0.045111843246739114,900,20260840
350,0.5,0.0,2.0,1.7457431218879391,0.9876787386187629,1.0,-0.012321261381237125,1799,20260841
350,0.5,0.0,4.0,1.7457431218879391,1.0082382371720786,1.0,0.00823823717207861,1860,20260842
350,0.5,1.5,1.0,1.7457431218879391,0.8946531888923579,1.0,-0.1053468111076421,900,20260843
350,0.5,1.5,2.0,1.7457431218879391,0.8473620017261996,1.0,-0.15263799827380042,1799,20260844
350,0.5,1.5,4.0,1.7457431218879391,0.9052799135755971,1.0,-0.09472008642440288,1860,20260845
350,0.5,3.5,1.0,1.745743121887939,0.8591175649931346,1.0,-0.14088243500686537,900,20260846
350,0.5,3.5,2.0,1.745743121887939,0.8087720750613338,1.0,-0.19122792493866625,1799,20260847
350,0.5,3.5,4.0,1.7457431218879391,0.8338968608584642,1.0,-0.16610313914153585,1860,20260848
350,0.8,0.0,1.0,1.7457431218879391,0.86010128074394,1.0,-0.13989871925606,1440,20260849
350,0.8,0.0,2.0,1.7457431218879391,0.8942815415909896,1.0,-0.1057184584090104,2878,20260850
350,0.8,0.0,4.0,1.7457431218879391,0.9787658149587509,1.0,-0.021234185041249076,2977,20260851
350,0.8,1.5,1.0,1.7457431218879391,0.8327174267519114,1.0,-0.1672825732480886,1440,20260852
350,0.8,1.5,2.0,1.7457431218879391,0.8365482769680036,1.0,-0.1634517230319964,2878,20260853
350,0.8,1.5,4.0,1.7457431218879391,0.9074332417404003,1.0,-0.0925667582595997,2977,20260854
350,0.8,3.5,1.0,1.7457431218879391,0.8009120116551487,1.0,-0.1990879883448513,1440,20260855
350,0.8,3.5,2.0,1.7457431218879391,0.7894204585828637,1.0,-0.2105795414171363,2878,20260856
350,0.8,3.5,4.0,1.7457431218879391,0.8822211243006957,1.0,-0.11777887569930434,2977,20260857
500,0.2,0.0,1.0,1.4605934866804429,1.0062640512653946,1.0,0.006264051265394643,360,20260858
500,0.2,0.0,2.0,1.4605934866804429,0.9718645210531027,1.0,-0.028135478946897274,719,20260859
500,0.2,0.0,4.0,1.4605934866804429,1.00041269101846,1.0,0.0004126910184600874,744,20260860
500,0.2,1.5,1.0,1.4605934866804429,0.9942541672603384,1.0,-0.0057458327396615605,360,20260861
500,0.2,1.5,2.0,1.4605934866804429,0.8664229440053022,1.0,-0.13357705599469782,719,20260862
500,0.2,1.5,4.0,1.4605934866804429,0.8884037644125412,1.0,-0.11159623558745879,744,20260863
500,0.2,3.5,1.0,1.4605934866804429,0.9447086412637451,1.0,-0.0552913587362549,360,20260864
500,0.2,3.5,2.0,1.4605934866804429,0.7701259219458643,1.0,-0.22987407805413573,719,20260865
500,0.2,3.5,4.0,1.4605934866804429,0.7682318427878205,1.0,-0.23176815721217947,744,20260866
